48,
Номер,Время
126,21:36:13
133,21:57:33
154,21:13:04
161,22:34:56
171,21:34:50
164,20:53:39
185,22:47:39
142,21:07:18
157,22:24:36
172,22:30:08
163,21:00:23
170,22:19:51
179,22:21:23
177,21:53:14
178,21:28:18
219,23:25:24
230,23:40:58
226,23:19:15
233,23:33:19
244,16:16:12
248,20:45:33
245,19:46:22
140,22:27:10
147,22:49:21
174,21:57:32
215,22:56:42
225,22:50:08
280,20:26:35
283,18:37:04
288,19:09:11
124,22:55:00
129,22:47:25
141,21:47:37
139,21:26:47
159,21:21:36
153,21:11:57
169,21:57:49
167,21:07:26
176,21:25:57
287,14:43:15
284,20:20:01
150,23:02:27
136,19:27:34
152,21:45:36
151,20:49:18
158,22:02:55
165,21:22:15
182,21:51:28
213,23:14:08
249,19:08:33
250,18:42:16
274,16:12:26
275,18:44:47
113,22:56:36
130,23:45:44
131,23:26:47
135,21:50:01
145,21:49:40
148,22:26:06
149,21:35:25
146,20:03:50
162,21:36:17
181,21:47:31
175,21:43:50
180,22:14:28
183,21:12:48
186,22:22:40
212,23:09:59
231,23:02:34
239,23:50:48
246,20:01:44
247,21:47:30
286,14:52:10
285,16:59:31
291,19:03:07
303,17:37:28
302,18:28:40
297,16:10:04
296,20:13:02
300,19:52:15
299,18:40:40
298,20:56:47
301,22:04:48
221,23:05:02
273,13:43:54
117,22:06:56
121,22:40:37
112,22:50:01
137,21:31:28
144,21:28:20
160,22:08:36
156,21:11:28
166,23:05:04
173,21:41:19
168,22:07:48
184,21:46:32
211,23:19:35
217,22:56:59
214,23:10:24
223,23:03:18
227,23:14:18
229,23:11:22
228,23:05:39
220,22:45:12
237,23:45:04
238,23:46:50
241,23:57:35
242,23:57:49
279,15:39:50
295,19:22:28
292,19:13:34
294,16:20:06
111,21:07:34
116,21:57:34
118,22:05:07
127,21:59:01
114,22:12:14
232,23:30:51
122,21:04:17
125,22:20:51
119,21:42:23
115,21:45:27
120,22:06:41
123,23:15:14
128,22:42:45
132,22:19:10
218,23:19:50
216,23:22:19
224,22:37:10
222,22:57:01
234,23:37:42
236,23:33:21
235,23:43:33
243,23:58:07
240,23:53:11
281,14:44:00
278,20:25:38
282,19:12:05
276,18:16:30
277,21:14:00
293,15:52:52
143,19:59:46
138,21:49:44
134,20:45:07
155,20:49:45
199,22:10:13
197,23:16:23
195,23:15:27
192,22:51:17
188,23:24:04
191,23:19:54
196,22:44:55
209,23:15:05
189,22:40:23
194,23:04:59
203,22:54:43
204,23:00:23
205,23:36:29
206,22:34:40
210,22:59:48
207,22:44:45
198,22:44:38
193,23:25:49
190,22:18:17
187,22:11:44
200,23:22:18
208,23:06:35
201,22:18:09
202,22:47:56
